COMMUNITY AREA NAME,THERMS TOTAL SQFT
West Garfield Park,16957.342911877395
McKinley Park,16019.035555555556
Kenwood,55047.93991416309
Morgan Park,18210.566164154104
Clearing,18555.756345177665
Jefferson Park,16726.487116564417
Lower West Side,21363.77399380805
Bridgeport,18251.217622080679
South Lawndale,20612.619771863118
Albany Park,16103.189473684211
Chicago Lawn,12253.785123966942
Dunning,18332.642659279778
West Ridge,22326.72069186419
Edgewater,37055.83842364532
Grand Boulevard,19029.845276872964
Pullman,38917.145945945946
West Elsdon,14891.069230769231
South Chicago,13228.832317073171
Beverly,22992.085257548845
Woodlawn,19251.456790123457
Douglas,45536.873626373626
North Park,23129.280434782609
Englewood,11848.191064638783
Mount Greenwood,23831.764383561644
Washington Park,18300.057851239669
Burnside,14508.614035087719
Chatham,16869.879328436516
South Deering,30363.091623036649
Montclare,14248.293948126801
East Garfield Park,16847.462171052632
Calumet Heights,16180.00612244898
West Pullman,10146.315448658649
South Shore,25572.305721605465
Riverdale,83183.125
Auburn Gresham,14707.273775216138
Garfield Ridge,17745.104740904079
Greater Grand Crossing,13389.872897196262
Logan Square,14671.750649350649
Fuller Park,13093.111111111111
Edison Park,19636.630769230769
North Center,16454.493185689949
West Lawn,17185.381791483113
New City,17133.357533177205
Norwood Park,18343.354656632173
Ashburn,20496.313981042654
Irving Park,14991.682382133995
O'Hare,89571.252336448598
Loop,1094999.77304964539
Forest Glen,22673.071705426357
Brighton Park,15932.741052631579
North Lawndale,16752.263791374122
Oakland,23355.428571428571
Rogers Park,24956.418918918919
Near North Side,213780.051863857374
Lakeview,35827.71442687747
Humboldt Park,15952.886908841672
Hegewisch,12019.302469135802
Near South Side,316643.215517241379
East Side,13310.301666666667
Roseland,12025.884642112578
West Town,16766.834813499112
Gage Park,14417.690210656753
Belmont Cragin,15558.3900789177
Uptown,44352.94451145959
Austin,17794.113590263692
Hyde Park,52558.226221079692
Near West Side,70738.500534759358
Avalon Park,17026.338414634146
Lincoln Park,31999.625783972125
Washington Heights,14568.282894736842
Archer Heights,24965.322997416021
Avondale,17577.775720164609
Portage Park,16145.502328288708
Hermosa,16251.01981981982
Lincoln Square,16769.362563237774
Armour Square,24651.942028985507
West Englewood,9776.739352640545145
